KeyName,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Tranditional Chinese (CHT),Simplified Chinese (CHN),"Indonesian
"
MAINMENU_ADVENTURE,Play Adventure,MODO AVENTURA,PARTIU,Приключение,アドベンチャーモード,Abenteuermodus,MODE AVENTURE,Modo Aventura,Hraj příběh,플레이 어드벤쳐,Speel Avontuur,"Avventura
",遊玩冒險模式,游玩冒险模式,Mulai Petualangan
MAINMENU_ENDLESS,Play Endless,Modo Infinito,CABA N MUNDÃO,Бесконечный режим,エンドレスモード,Endlosmodus,MODE SANS FIN,Modo Infinito,"Hraj nekonečný mód
",플레이 어드벤쳐,Speel Oneindig,"Senzafine
",遊玩無盡模式,游玩无尽模式,Mulai Petualangan Tak Terhingga
MAINMENU_SETTINGS,Settings,opções,FRESCURADA,Настройки,オプション,Optionen,OPTIONS,Opciones,Nastavení,설정,Instellingen,"Opzioni
",設定,设置,Pengaturan
MAINMENU_CREDITS,Credits,CRÉDITOS,N CLICA QUE,Авторы,クレジット,Credits,CRÉDITS,Créditos,Autoři,크레딧,Credits,Crediti,制作人員名單,制作人员名单,"
Daftar Tim Pembuat
"
MAINMENU_QUIT,Exit,SAIR,VAZA,Выход,おわる,Beenden,"QUITTER
",Salir,Konec,나가기,Sluit,Esci,退出遊戲,退出,Keluar 
MAINMENU_CANCEL,Cancel,CANCELAR,SAI ZICA,Отмена,キャンセル,Abbrechen,ANNULER,Cancelar,Zrušit,취소,Annuleer,Annulla,取消,取消,Batalkan
MAINMENU_CONFIRM,Confirm,CONFIRMAR,D BOA,Подтвердить,けってい,Bestätigen,CONFIRMER,Confirmar,Potvrdit,확인,Bevestig,"Conferma
",確定,确认,Setuju
,,,,,,,,,,,,,,,
SETTINGS_FXGAMEPLAY,GAMEPLAY OPTIONS,OPÇÕES DE JOGO,MAIS FRESCURADA,НАСТРОЙКИ ИГРЫ,ゲームプレイ オプション,Gameplay-Optionen,OPTIONS DE JEU,Opciones de Juego,Nastavení hry,게임플레이 옵션,GAMEPLAY-OPTIES,OPZIONI GIOCO,遊玩設定,游戏设置,"Pengaturan Permainan
"
SETTINGS_FXPERFORMANCE,VIDEO OPTIONS,OPÇÕES DE VÍDEO,RODA CRYSIS?,НАСТРОЙКИ ГРАФИКИ,ビデオ オプション,Grafikoptionen,VIDEO,Opciones de Vídeo,Nastavení videa,비디오 옵션,VIDEO-OPTIES,OPZIONI VIDEO,畫面設定,画面设置,"Pengaturan Video
"
SETTINGS_FXMAPPING,KEY MAPPING,CONFIGURAR TECLADO,TECLADO PRO GUEMER,УПРАВЛЕНИЕ,キー マッピング,"Tastenbelegung
",CLAVIER,Definir Teclas,Nastavení kláves,키 설정,CONTROLLER-OPTIES,CONFIGURA TASTI,按鍵設定,按键设置,Pengaturan Tombol
